name,lon,lat
0,114.3347549,22.7840252
1,114.2835312,22.7900276
2,114.3238983,22.7924709
3,113.9099579,22.5212803
4,113.9183655,22.517807
5,113.9196167,22.5314388
6,113.9316635,22.5357819
7,113.9255066,22.5214958
8,113.9238892,22.5126171
9,114.1538086,22.6537838
10,114.1874008,22.6633949
11,114.1881714,22.6742592
12,114.1538467,22.6723366
13,114.4852448,22.5424786
14,114.4470901,22.584053
15,114.5035095,22.4936371
16,113.9053955,22.5685921
17,113.895668,22.5586739
18,113.8951874,22.5371437
19,113.8858795,22.5511436
20,113.884079,22.5695858
21,114.5140152,22.5421009
22,114.5651398,22.5218468
23,114.531929,22.4837399
24,114.5178604,22.6180305
25,114.4739532,22.5700283
26,114.4919662,22.5713978
27,114.531105,22.5612545
28,114.5506287,22.5606251
29,114.5721817,22.4903927
30,113.9092789,22.5416584
31,113.9211273,22.5394287
32,114.1282883,22.7098808
33,114.1473236,22.6859913
34,114.0955811,22.718956
35,114.074585,22.7363605
36,114.0424805,22.7396011
37,114.0438614,22.7590504
38,114.0230408,22.7300377
39,114.0329742,22.7528076
40,114.0812683,22.6350975
41,114.0923004,22.6247692
42,114.1005707,22.6458721
43,114.1122589,22.6330566
44,114.4972229,22.631424
45,114.4057236,22.6154022
46,114.4195786,22.6314011
47,114.4564133,22.652977
48,114.5014343,22.6514683
49,114.3128891,22.6183453
50,114.3369751,22.6515884
51,114.267807,22.6186428
52,114.2472076,22.6450615
53,114.3599319,22.682497
54,114.41008,22.6788807
55,114.3792496,22.6322708
56,114.3754578,22.709837
57,114.4043274,22.6973381
58,114.0701218,22.5240059
59,114.0648651,22.5269775
60,114.0611496,22.5274067
61,114.3004074,22.5992851
62,114.2744293,22.578764
63,114.2296143,22.5905762
64,114.2154388,22.631691
65,114.2243118,22.6572571
66,114.230545,22.6725292
67,114.3578186,22.7322464
68,114.3838348,22.7285137
69,114.3911362,22.7105026
70,114.4108658,22.7078781
71,114.204277,22.6129665
72,114.2100983,22.6422195
73,114.1997757,22.6455479
74,114.2061234,22.6595993
75,114.2113724,22.6734695
76,114.2139359,22.6868858
77,114.340126,22.7085361
78,114.343895,22.7388687
79,114.372406,22.7456818
80,114.4026337,22.7464314
81,114.2184448,22.5713615
82,114.183876,22.5889606
83,114.160759,22.6287651
84,114.1829681,22.6293793
85,114.1888046,22.6386833
86,114.1958389,22.6510181
87,114.193718,22.6588192
88,114.1965027,22.6955147
89,114.3268204,22.6993809
90,114.3254242,22.7200775
91,114.3232803,22.7419491
92,114.3616638,22.7597446
93,114.3954926,22.7571678
94,114.3977432,22.7735062
95,114.2415695,22.5818577
96,114.2381516,22.5661335
97,114.2259979,22.5596714
98,114.2102661,22.5578747
99,114.1414795,22.6315956
100,114.171463,22.640913
101,114.1759415,22.6495914
102,114.1849442,22.6454182
103,114.1767731,22.6347122
104,114.2945251,22.6819649
105,114.3111038,22.7191353
106,114.2400055,22.6019764
107,114.2470398,22.593008
108,114.2538376,22.583374
109,114.2439499,22.562746
110,113.9302063,22.5127258
111,113.9303665,22.5034275
112,113.9409561,22.4990578
113,113.9319687,22.4943008
114,114.1357346,22.6424656
115,114.251091,22.6806679
116,114.3108292,22.7021446
117,114.2139587,22.7420464
118,114.2061005,22.7024231
119,114.3234406,22.6064053
120,114.2927246,22.7859211
121,114.2960663,22.7756901
122,114.3005371,22.7507458
123,114.2779083,22.7644749
124,114.2656174,22.7468128
125,114.2349014,22.7502842
126,114.2201004,22.7773361
127,114.2270889,22.7322292
128,114.2217407,22.7128754
129,114.2096863,22.7244377
130,114.2407227,22.722084
131,114.2362366,22.7048779
132,114.2262192,22.6942043
133,113.9232025,22.5496426
134,113.9092712,22.5307178
135,114.2523651,22.7302189
136,114.2657471,22.7346191
137,114.2570572,22.7160969
138,113.931839,22.5210018
139,113.9409866,22.5161095
140,114.2845535,22.7193756
141,114.2893753,22.7303658
142,114.2910767,22.7392101
143,114.3009796,22.7126713
144,113.9128418,22.4863071
145,113.9156494,22.4944973
146,113.9295044,22.4860859
147,114.2544022,22.6965446
148,114.2846832,22.7066422
149,114.270607,22.7208138
150,114.2771149,22.6902943
151,114.3117752,22.7693386
152,113.9360123,22.5292168
153,114.2610779,22.5909672
154,114.1298752,22.6538944
155,114.1182022,22.6731663
156,114.1322632,22.6709309
157,114.2886505,22.6829891
158,113.955925,22.5429039
159,113.9452438,22.53022
160,114.084877,22.6523991
161,114.0691757,22.6380482
162,114.1395874,22.6783752
163,114.2935486,22.6689777
164,114.3169174,22.6749992
165,114.3346024,22.6791
166,114.3427811,22.6940289
167,114.3635788,22.6989002
168,114.2997818,22.6949348
169,113.7839279,22.753582
170,113.765831,22.7332745
171,113.7574081,22.7184372
172,114.1440582,22.5489635
173,114.1605377,22.5597095
174,114.1571121,22.5644531
175,114.1658173,22.567255
176,114.1772003,22.5589485
177,114.1309967,22.5447521
178,114.1321411,22.5539551
179,114.1436691,22.5638371
180,114.1505432,22.5820694
181,114.1459656,22.5993061
182,114.0262833,22.5753403
183,114.0489502,22.5714817
184,114.0573273,22.5728512
185,114.0464554,22.5621853
186,114.0383835,22.5660553
187,114.0328827,22.5695076
188,114.110054,22.6027641
189,114.1160126,22.5880337
190,114.1206207,22.5957527
191,114.1359482,22.583292
192,114.0991821,22.6170349
193,114.1025467,22.598341
194,114.1078186,22.5846195
195,114.1261673,22.6227798
196,114.1090317,22.6163883
197,114.1185608,22.6122646
198,114.1278687,22.6046982
199,114.178215,22.5649891
200,114.1230545,22.5821724
201,114.1209106,22.5726414
202,114.1147995,22.5683689
203,114.1170273,22.5626583
204,114.1101608,22.5679989
205,114.1053238,22.5773087
206,114.1036835,22.5690765
207,114.0942307,22.5636692
208,114.1033096,22.5619602
209,114.0952148,22.5551739
210,114.0815125,22.5614433
211,114.0929565,22.5739746
212,114.1047592,22.5558376
213,114.0833664,22.5550251
214,114.0714188,22.5470505
215,114.075531,22.5665264
216,114.083786,22.5894585
217,113.8834152,22.5138702
218,113.8770828,22.5635128
219,114.3547211,22.6126251
220,113.8695297,22.55369
221,113.8707352,22.5067406
222,113.8765717,22.4890862
223,114.0164719,22.5211887
224,114.0448074,22.5163174
225,114.0476608,22.5248394
226,114.055748,22.5171432
227,114.048027,22.5091667
228,113.9008865,22.496542
229,113.8894272,22.4714203
230,113.9178238,22.5618973
231,113.9226379,22.5052605
232,113.9222031,22.5002365
233,113.9254074,22.4935455
234,114.0655441,22.5373116
235,114.0536194,22.5366249
236,114.055397,22.5248508
237,114.0398178,22.5285263
238,114.0358353,22.536932
239,114.0536804,22.546236
240,113.9676056,22.5202084
241,113.9144669,22.5493202
242,113.853241,22.5515251
243,113.8035278,22.6395168
244,113.8058319,22.6735306
245,113.8178787,22.6633358
246,113.8266602,22.6636391
247,114.0042725,22.5329342
248,114.0033264,22.5384789
249,113.9816132,22.544838
250,114.0009003,22.543745
251,114.0219345,22.5352955
252,113.8983154,22.7070904
253,113.8738098,22.6470451
254,113.8977432,22.6815853
255,113.9137955,22.5839539
256,113.8983688,22.5974998
257,113.8729706,22.6048717
258,113.8604355,22.6291637
259,113.8422699,22.6456165
260,113.8362503,22.6342278
261,113.8363647,22.6003399
262,113.8460922,22.6199875
263,113.8427811,22.5844421
264,113.8236237,22.5967293
265,114.0250397,22.5273113
266,113.846962,22.6102219
267,113.8574982,22.5953255
268,113.8528748,22.5771103
269,113.7661743,22.6859646
270,113.7741013,22.7112637
271,113.7757874,22.6905766
