"districtid","hasMetro","busStopDensity","stopsWithinMetroService","streetDensity","collectorStreetDensity","mainRoadDensity","highWayDensity","busRouteDensity","lineOverlapFactor","peopleDensity","developLevel","developLevelWithinBusService","busAccessibility","laggingIndex","weiboSignin","number","number_level","1","2","3","4","5","index","leafIndex"
107,0,10.4593612,0,3.218350024,0,0.637909968,0.235986642,25.60680001,11.78433401,14496.13193,-0.299257321,-0.38631216,9469.419421,4.570245026,1655,918,4,0.255102040816327,0.5,0.102040816326531,0.112244897959184,0.0306122448979592,2,2
108,0,4.24468636,0,4.598638692,0,0.876325891,1.381991701,51.15826283,21.79517889,14770.51667,-0.320647722,-0.402673132,8512.513661,4.104547264,1822,789,3,0.255102040816327,0.5,0.102040816326531,0.112244897959184,0.0306122448979592,2,2
109,0,8.235067763,0,2.372387488,0,0.691238327,0,31.74878922,26.26087562,9117.582528,-0.328308941,-0.29028757,9460.040466,4.29009493,495,328,1,0.255102040816327,0.5,0.102040816326531,0.112244897959184,0.0306122448979592,2,2
110,1,20.64226011,3,5.613499247,0.957366408,3.149705594,0,70.47099034,35.98959358,2209.299788,-0.264045299,0.152725358,7358.122934,3.623639001,1782,870,4,0,0.137931034482759,0.0344827586206897,0.206896551724138,0.620689655172414,5,5
111,1,34.36158881,5,6.389933056,0.892432338,4.566709688,1.046271459,70.01443366,12.96603828,3984.123089,-0.076925896,0.909829291,8063.58299,3.749268943,3826,696,3,0.0833333333333333,0,0.666666666666667,0.25,0,3,6
112,1,5.523324231,5,5.540216913,1.511205821,1.553293562,0.521867384,18.86531736,8.816622351,71.15698521,0.158085969,0.582235375,8593.904517,4.060241836,9411,1429,5,0,0,0.5,0,0.5,3,11
113,1,29.57945411,6,4.2461683,0,2.859681957,0,28.55464137,47.66894221,6175.173594,-0.213568323,-0.316796649,8728.932851,3.620046405,301,307,1,0.255102040816327,0.5,0.102040816326531,0.112244897959184,0.0306122448979592,2,2
114,0,7.208940103,0,0,0,0.151161051,0.539096921,18.37226142,10.74690311,6055.215664,-0.215350833,1.184922925,7559.733333,4.684740684,924,491,2,0,0.0714285714285714,0.0714285714285714,0.128571428571429,0.728571428571429,5,1
115,0,3.297393436,0,0,0,0,0.181874046,3.724163108,7.232350159,2781.647611,-0.331838618,-0.404997962,8570.933402,3.747925339,14,469,2,0.255102040816327,0.5,0.102040816326531,0.112244897959184,0.0306122448979592,2,2
116,0,12.49573299,0,0,0.100514445,0,0,20.13578639,5.673624541,7724.489989,-0.284341341,-0.399030876,8598.317996,3.658157263,374,268,1,0.255102040816327,0.5,0.102040816326531,0.112244897959184,0.0306122448979592,2,2
117,0,2.827307493,0,0.057766707,0.085418019,0,0.390482882,0.802238888,1.480243128,1784.093099,-0.331020229,-0.412782938,9289.766667,4.028810388,31,677,3,0.533333333333333,0,0.2,0.2,0.0666666666666667,1,9
118,0,7.541652005,0,3.558564031,0.111329764,0.560979115,0,14.16018726,4.160204386,6680.161542,0.049994353,-0.340372929,7733.403545,3.92396051,6355,460,2,0.0952380952380952,0.428571428571429,0.238095238095238,0.0952380952380952,0.142857142857143,2,8
